,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,-2156.25,-0.8625,1.9769954973685295,-3.7625,1.0375,-43125.0,-17.25
09:00:00,-2250.0,-0.9,1.9390923755915668,-3.5,1.0625,-45000.0,-18.0
09:30:00,1375.0,0.55,1.9123618257867616,-3.5125,1.0125,27500.0,11.0
10:00:00,2875.0,1.15,1.850739619795751,-3.3625,1.0125,57500.0,23.0
10:30:00,-3375.0,-1.35,1.9025013537016302,-3.45,1.025,-67500.0,-27.0
11:00:00,1468.75,0.5875,1.4489415926744678,-2.0,1.075,29375.0,11.75
11:30:00,-3156.25,-1.2625,2.1728374568089803,-3.8125,0.8,-63125.0,-25.25
12:00:00,2812.5,1.125,1.5991416355267858,-2.8375,1.0125,56250.0,22.5
12:30:00,2375.0,0.95,1.5161049082022477,-2.25,1.0,47500.0,19.0
13:00:00,3875.0,1.55,1.7032880753014958,-3.0875,1.025,77500.0,31.0
13:30:00,-1218.75,-0.4875,1.8327941781477939,-3.2625,1.075,-24375.0,-9.75
14:00:00,-3437.5,-1.375,1.9767362244339584,-3.725,1.0375,-68750.0,-27.5
14:30:00,-5468.75,-2.1875,2.172078837657153,-4.0625,1.0375,-109375.0,-43.75
15:00:00,-4625.0,-1.85,1.8712867711651513,-2.75,1.0375,-92500.0,-37.0
