,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,3804.3478260869565,1.5217391304347827,1.693486104846761,-3.347826086956522,1.0,87500.0,35.0
09:00:00,-326.0869565217391,-0.13043478260869565,2.0784567965595038,-4.0,1.0434782608695652,-7500.0,-3.0
09:30:00,760.8695652173913,0.30434782608695654,1.670353504445218,-2.9130434782608696,1.0,17500.0,7.0
10:00:00,-4701.086956521739,-1.8804347826086956,1.8432050684843366,-3.0652173913043477,1.0,-108125.0,-43.25
10:30:00,2228.2608695652175,0.8913043478260869,1.6088570704117011,-2.6739130434782608,1.0,51250.0,20.5
11:00:00,-163.04347826086956,-0.06521739130434782,1.7124098061542836,-2.717391304347826,0.8478260869565217,-3750.0,-1.5
11:30:00,326.0869565217391,0.13043478260869565,1.7733132754896763,-2.847826086956522,1.0108695652173914,7500.0,3.0
12:00:00,-2272.7272727272725,-0.9090909090909091,1.5595219016760327,-2.0454545454545454,1.0,-50000.0,-20.0
12:30:00,6022.727272727273,2.409090909090909,1.3254879095733456,-2.1136363636363638,1.0,132500.0,53.0
13:00:00,2528.409090909091,1.0113636363636365,1.5174641232738297,-2.1363636363636362,1.0,55625.0,22.25
13:30:00,-2556.818181818182,-1.0227272727272727,1.8922626387321306,-2.8068181818181817,1.0,-56250.0,-22.5
14:00:00,2869.318181818182,1.1477272727272727,1.6686886052543302,-2.715909090909091,1.0,63125.0,25.25
14:30:00,2698.8636363636365,1.0795454545454546,1.6961664467576323,-2.8636363636363638,1.0,59375.0,23.75
15:00:00,1750.0,0.7,1.2250490001419663,-0.9875,0.9375,35000.0,14.0
