,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,-3406.25,-1.3625,2.070237180445936,-4.0125,1.0,-68125.0,-27.25
09:00:00,-375.0,-0.15,2.0592690925531763,-4.0125,1.0125,-7500.0,-3.0
09:30:00,-1375.0,-0.55,1.656538156683019,-3.0,0.75,-27500.0,-11.0
10:00:00,1968.75,0.7875,1.765663983868715,-3.25,1.0,39375.0,15.75
10:30:00,1500.0,0.6,1.7923004045593471,-3.0,1.0,30000.0,12.0
11:00:00,1468.75,0.5875,1.857618366911924,-3.1625,1.0,29375.0,11.75
11:30:00,-4843.75,-1.9375,2.0581269386306924,-3.3625,1.0,-96875.0,-38.75
12:00:00,263.1578947368421,0.10526315789473684,1.5917849318897428,-2.6842105263157894,0.47368421052631576,5000.0,2.0
12:30:00,-789.4736842105264,-0.3157894736842105,2.0024793708601436,-3.460526315789474,1.013157894736842,-15000.0,-6.0
13:00:00,1611.842105263158,0.6447368421052632,1.8973959806191725,-3.3289473684210527,1.144736842105263,30625.0,12.25
13:30:00,1578.9473684210527,0.631578947368421,1.78201259846518,-3.210526315789474,1.0,30000.0,12.0
14:00:00,-953.9473684210526,-0.3815789473684211,1.6924540961700765,-2.9473684210526314,1.0263157894736843,-18125.0,-7.25
14:30:00,-6111.111111111111,-2.4444444444444446,2.146474224674762,-4.0,1.0,-110000.0,-44.0
15:00:00,2291.6666666666665,0.9166666666666666,1.5789519855374932,-2.125,1.0,41250.0,16.5
