,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,148.8095238095238,0.05952380952380952,1.9989284181545868,-3.761904761904762,1.0119047619047619,3125.0,1.25
09:00:00,9136.904761904761,3.6547619047619047,1.5178590614056204,-3.011904761904762,1.0,191875.0,76.75
09:30:00,909.0909090909091,0.36363636363636365,1.7245934793604225,-2.8863636363636362,1.0,20000.0,8.0
10:00:00,852.2727272727273,0.3409090909090909,1.6660640214248938,-2.784090909090909,0.9204545454545454,18750.0,7.5
10:30:00,2440.4761904761904,0.9761904761904762,1.6319658530989538,-2.5357142857142856,1.0,51250.0,20.5
11:00:00,2321.4285714285716,0.9285714285714286,1.785021360798648,-3.2142857142857144,1.0,48750.0,19.5
11:30:00,-1726.1904761904761,-0.6904761904761905,2.029838661601221,-3.1666666666666665,0.7738095238095238,-36250.0,-14.5
12:00:00,2291.6666666666665,0.9166666666666666,1.5345489131997774,-2.5952380952380953,1.0,48125.0,19.25
12:30:00,-3906.25,-1.5625,2.0543194338807744,-3.5,0.7875,-78125.0,-31.25
13:00:00,-250.0,-0.1,1.8152635011310083,-3.1,0.775,-5000.0,-2.0
13:30:00,968.75,0.3875,1.841519641989009,-3.35,1.05,19375.0,7.75
14:00:00,4687.5,1.875,1.6965554236569005,-3.1875,1.0,93750.0,37.5
14:30:00,3618.4210526315787,1.4473684210526316,1.7309492893835836,-3.3157894736842106,1.0,68750.0,27.5
15:00:00,1631.9444444444443,0.6527777777777778,1.354544662462732,-1.3611111111111112,1.0,29375.0,11.75
