,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,493.42105263157896,0.19736842105263158,1.9122329005293945,-3.763157894736842,1.0657894736842106,9375.0,3.75
09:00:00,1940.7894736842106,0.7763157894736842,1.6100648590821598,-2.9473684210526314,1.0263157894736843,36875.0,14.75
09:30:00,4305.555555555556,1.7222222222222223,1.669814529096322,-2.888888888888889,1.0,77500.0,31.0
10:00:00,6145.833333333333,2.4583333333333335,1.253828172357958,-2.0555555555555554,1.0138888888888888,110625.0,44.25
10:30:00,-4027.777777777778,-1.6111111111111112,2.166913387233068,-3.7222222222222223,1.0,-72500.0,-29.0
11:00:00,-4861.111111111111,-1.9444444444444444,2.0657883121658274,-3.6666666666666665,0.9444444444444444,-87500.0,-35.0
11:30:00,-451.3888888888889,-0.18055555555555555,1.9785408103623061,-3.5416666666666665,0.7222222222222222,-8125.0,-3.25
12:00:00,4340.277777777777,1.7361111111111112,1.763660043067347,-3.5416666666666665,1.0,78125.0,31.25
12:30:00,3472.222222222222,1.3888888888888888,1.8263717341040042,-3.5555555555555554,1.0,62500.0,25.0
13:00:00,3715.277777777778,1.4861111111111112,1.476138658925776,-2.375,1.0277777777777777,66875.0,26.75
13:30:00,2500.0,1.0,1.6437834872169441,-2.888888888888889,1.0,45000.0,18.0
14:00:00,2777.777777777778,1.1111111111111112,1.8201290146158609,-3.4444444444444446,1.0,50000.0,20.0
14:30:00,7638.888888888889,3.0555555555555554,1.7219283333153437,-3.4444444444444446,1.0,137500.0,55.0
15:00:00,4201.388888888889,1.6805555555555556,1.220895448464244,-1.6527777777777777,1.0277777777777777,75625.0,30.25
