,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,3848.684210526316,1.5394736842105263,1.8594604556822898,-3.736842105263158,1.013157894736842,73125.0,29.25
09:00:00,4078.9473684210525,1.631578947368421,1.9353160008309134,-3.736842105263158,1.0,77500.0,31.0
09:30:00,4062.5,1.625,1.551754203836543,-2.825,1.0,81250.0,32.5
10:00:00,2598.684210526316,1.0394736842105263,1.7617743041663636,-3.1184210526315788,1.25,49375.0,19.75
10:30:00,500.0,0.2,2.066139148665871,-3.6375,0.9,10000.0,4.0
11:00:00,4539.473684210527,1.8157894736842106,1.6466764974947186,-2.960526315789474,1.0526315789473684,86250.0,34.5
11:30:00,4144.736842105263,1.6578947368421053,1.5447535833529515,-2.736842105263158,1.0,78750.0,31.5
12:00:00,-2236.842105263158,-0.8947368421052632,1.7635012790077942,-3.1447368421052633,0.881578947368421,-42500.0,-17.0
12:30:00,-822.3684210526316,-0.32894736842105265,1.7804121424425794,-2.8815789473684212,1.013157894736842,-15625.0,-6.25
13:00:00,-2500.0,-1.0,1.8138454941569704,-3.3815789473684212,0.6447368421052632,-47500.0,-19.0
13:30:00,2006.578947368421,0.8026315789473685,1.6813169626505624,-2.9473684210526314,0.9210526315789473,38125.0,15.25
14:00:00,-2467.1052631578946,-0.9868421052631579,1.980981719634641,-3.6315789473684212,1.0,-46875.0,-18.75
14:30:00,7187.5,2.875,1.7241741969636626,-3.6527777777777777,1.0,129375.0,51.75
15:00:00,-820.3125,-0.328125,1.4845531412111996,-1.890625,0.859375,-13125.0,-5.25
