,Avg Profits,Avg Net Points,Standard Deviation,Minimum Net Points,Maximum Net Points,Total Window Sum Profits,Total Window Sum Net Points
08:30:00,5625.0,2.25,1.6045228830650644,-3.25,1.0,112500.0,45.0
09:00:00,1428.5714285714287,0.5714285714285714,1.8245827417972138,-3.0476190476190474,1.0,30000.0,12.0
09:30:00,-178.57142857142858,-0.07142857142857142,1.6418546496606,-2.5476190476190474,1.0,-3750.0,-1.5
10:00:00,5750.0,2.3,1.4568814235993106,-2.25,1.0375,115000.0,46.0
10:30:00,3906.25,1.5625,1.7617431042484681,-3.25,1.0,78125.0,31.25
11:00:00,1531.25,0.6125,1.6339711367955825,-2.6625,1.0,30625.0,12.25
11:30:00,565.4761904761905,0.2261904761904762,1.4239456505725703,-2.0357142857142856,1.0,11875.0,4.75
12:00:00,4125.0,1.65,1.6694140548182699,-3.05,1.0125,82500.0,33.0
12:30:00,7125.0,2.85,1.2886179045899564,-1.95,1.2375,142500.0,57.0
13:00:00,1062.5,0.425,1.4911791415124223,-2.2875,1.0,21250.0,8.5
13:30:00,781.25,0.3125,1.6040488935651904,-2.1375,1.0,15625.0,6.25
14:00:00,-2500.0,-1.0,2.104049307848894,-3.65,1.0,-50000.0,-20.0
14:30:00,-138.88888888888889,-0.05555555555555555,1.7722026671183353,-3.1666666666666665,1.0,-2500.0,-1.0
15:00:00,-1284.7222222222222,-0.5138888888888888,1.7284027841177154,-2.0972222222222223,0.9583333333333334,-23125.0,-9.25
