type,predict_time,exit_time,predict_confidence,long_short,desc,trade_entry_price,make_price,risk_price,trade_exit_price,net_pts,max_drawdown, ext_signal, elapsed_seconds
Trade,2023-01-03 14:37:21.065000+00:00,2023-01-03 14:39:12.955867+00:00,0.775,Long,FullWinTarget,384.49,385.19,384.19,385.21,0.7199999999999704,-0.10000000000002274,1,112
Trade,2023-01-03 14:37:23.025000+00:00,2023-01-03 14:39:19.027637+00:00,0.768,Long,FullWinTarget,384.56,385.26,384.26,385.27,0.7099999999999795,-0.17000000000001592,1,116
Trade,2023-01-03 14:37:49.014000+00:00,2023-01-03 14:39:21.530850+00:00,0.715,Long,FullWinTarget,384.65,385.34999999999997,384.34999999999997,385.37,0.7200000000000273,-0.029999999999972715,1,93
Trade,2023-01-03 14:37:55.081000+00:00,2023-01-03 14:40:02.313324+00:00,0.745,Long,FullWinTarget,384.77,385.46999999999997,384.46999999999997,385.47,0.7000000000000455,-0.14999999999997726,1,127
Trade,2023-01-03 14:37:57.057000+00:00,2023-01-03 14:40:03.154584+00:00,0.745,Long,FullWinTarget,384.84,385.53999999999996,384.53999999999996,385.55,0.7100000000000364,-0.21999999999997044,1,126
Trade,2023-01-03 14:37:59.032000+00:00,2023-01-03 14:39:22.714587+00:00,0.702,Long,FullWinTarget,384.72,385.42,384.42,385.42,0.6999999999999886,-0.10000000000002274,1,84
Trade,2023-01-03 14:38:01.078000+00:00,2023-01-03 14:39:22.694929+00:00,0.616,Long,FullWinTarget,384.68,385.38,384.38,385.38,0.6999999999999886,-0.060000000000002274,1,82
Trade,2023-01-03 14:44:36.020000+00:00,2023-01-03 14:44:52.570276+00:00,0.816,Long,FullLossRisk,385.57,386.27,385.27,385.25,-0.3199999999999932,0,1,17
Trade,2023-01-03 14:46:05.036000+00:00,2023-01-03 14:47:46.317437+00:00,0.625,Long,FullLossRisk,384.36,385.06,384.06,384.06,-0.30000000000001137,0,1,101
Trade,2023-01-03 14:46:09.021000+00:00,2023-01-03 14:47:50.053908+00:00,0.665,Long,FullLossRisk,384.27,384.96999999999997,383.96999999999997,383.93,-0.339999999999975,0,1,101
Trade,2023-01-03 14:46:18.028000+00:00,2023-01-03 14:47:50.614395+00:00,0.724,Long,FullLossRisk,384.2,384.9,383.9,383.87,-0.3299999999999841,0,1,93
Trade,2023-01-03 14:46:23.107000+00:00,2023-01-03 14:47:46.131232+00:00,0.888,Long,FullLossRisk,384.41,385.11,384.11,384.1,-0.3100000000000023,0,1,83
Trade,2023-01-03 14:46:28.052000+00:00,2023-01-03 14:47:43.042513+00:00,0.708,Long,FullLossRisk,384.5,385.2,384.2,384.2,-0.30000000000001137,0,1,75
Trade,2023-01-03 14:46:37.198000+00:00,2023-01-03 14:47:42.159066+00:00,0.835,Long,FullLossRisk,384.565,385.265,384.265,384.23,-0.33499999999997954,0,1,65
Trade,2023-01-03 14:46:44.134000+00:00,2023-01-03 14:47:43.042513+00:00,0.605,Long,FullLossRisk,384.52,385.21999999999997,384.21999999999997,384.2,-0.3199999999999932,0,1,59
Trade,2023-01-03 14:46:54.001000+00:00,2023-01-03 14:47:43.042513+00:00,0.873,Long,FullLossRisk,384.51,385.21,384.21,384.2,-0.3100000000000023,0,1,49
Trade,2023-01-03 14:46:58.018000+00:00,2023-01-03 14:47:41.540085+00:00,0.840,Long,FullLossRisk,384.58,385.28,384.28,384.28,-0.30000000000001137,0,1,44
Trade,2023-01-03 14:47:47.012000+00:00,2023-01-03 14:47:54.330733+00:00,0.819,Long,FullLossRisk,384.08,384.78,383.78,383.76,-0.3199999999999932,0,1,7
Trade,2023-01-03 14:50:05.033000+00:00,2023-01-03 14:52:39.436752+00:00,0.699,Long,FullLossRisk,383.47,384.17,383.17,383.17,-0.30000000000001137,0,1,154
Trade,2023-01-03 14:50:08.198000+00:00,2023-01-03 14:52:32.170377+00:00,0.801,Long,FullLossRisk,383.54,384.24,383.24,383.24,-0.30000000000001137,0,1,144
Trade,2023-01-03 14:50:11.018000+00:00,2023-01-03 14:52:32.130538+00:00,0.842,Long,FullLossRisk,383.58,384.28,383.28,383.26,-0.3199999999999932,0,1,141
Trade,2023-01-03 14:53:49.037000+00:00,2023-01-03 14:55:37.292188+00:00,0.664,Long,FullLossRisk,382.86,383.56,382.56,382.55,-0.3100000000000023,0,1,108
Trade,2023-01-03 14:55:26.001000+00:00,2023-01-03 14:55:35.336408+00:00,0.758,Long,FullLossRisk,382.95,383.65,382.65,382.63,-0.3199999999999932,0,1,9
Trade,2023-01-03 14:56:36.098000+00:00,2023-01-03 14:56:56.671042+00:00,0.752,Long,FullLossRisk,382.65,383.34999999999997,382.34999999999997,382.34,-0.3100000000000023,0,1,21
Trade,2023-01-03 14:56:45.107000+00:00,2023-01-03 14:57:30.735153+00:00,0.723,Long,FullLossRisk,382.48,383.18,382.18,382.17,-0.3100000000000023,0,1,46
Trade,2023-01-03 14:56:50.221000+00:00,2023-01-03 14:58:03.490630+00:00,0.690,Long,FullLossRisk,382.425,383.125,382.125,382.12,-0.3050000000000068,0,1,73
Trade,2023-01-03 14:57:04.118000+00:00,2023-01-03 14:58:05.609435+00:00,0.675,Long,FullLossRisk,382.38,383.08,382.08,382.08,-0.30000000000001137,0,1,61
Trade,2023-01-03 14:57:07.118000+00:00,2023-01-03 14:57:30.735153+00:00,0.832,Long,FullLossRisk,382.48,383.18,382.18,382.17,-0.3100000000000023,0,1,24
Trade,2023-01-03 14:57:10.046000+00:00,2023-01-03 14:58:03.490630+00:00,0.606,Long,FullLossRisk,382.42,383.12,382.12,382.12,-0.30000000000001137,0,1,53
Trade,2023-01-03 14:58:34.017000+00:00,2023-01-03 15:05:33.868669+00:00,0.682,Long,PartialWinTime,381.93,382.63,381.63,382.14,0.20999999999997954,-0.2599999999999909,1,420
Trade,2023-01-03 14:58:41.012000+00:00,2023-01-03 15:00:38.141574+00:00,0.898,Long,FullWinTarget,381.74,382.44,381.44,382.44,0.6999999999999886,-0.06999999999999318,1,117
Trade,2023-01-03 14:58:43.161000+00:00,2023-01-03 15:01:34.042706+00:00,0.615,Long,FullWinTarget,381.86,382.56,381.56,382.56,0.6999999999999886,-0.18999999999999773,1,171
