exit_time,col2,net_pts,col4,col5
2023-01-03 08:30:00.001,0.524,-4.0,0.0,20
2023-01-03 08:37:06.001,0.476,1.0,0.0,0
2023-01-03 08:37:18.047,0.472,1.0,-2.0,30
2023-01-03 08:37:51.048,0.548,1.0,-0.5,2
2023-01-03 08:44:32.056,0.441,-4.0,0.0,21
2023-01-03 08:45:00.014,0.534,1.0,0.0,0
2023-01-03 08:46:03.099,0.461,1.0,-3.5,34
2023-01-03 08:47:29.049,0.457,-4.0,0.0,17
2023-01-03 08:47:47.012,0.819,-4.0,0.0,49
2023-01-03 08:48:39.000,0.451,-4.0,0.0,18
2023-01-03 08:50:02.015,0.491,1.0,0.0,0
2023-01-03 08:51:04.103,0.554,-4.0,0.0,85
2023-01-03 08:53:44.089,0.463,1.0,-0.25,5
2023-01-03 08:55:24.017,0.544,-4.0,0.0,10
2023-01-03 08:56:36.098,0.752,-4.0,0.0,26
2023-01-03 08:57:04.118,0.675,1.0,-0.25,1
2023-01-03 08:57:07.118,0.832,-4.0,0.0,56
2023-01-03 08:58:34.017,0.682,1.0,-3.0,95
2023-01-03 09:00:57.050,0.411,1.0,0.0,1
2023-01-03 09:02:37.170,0.423,1.0,-0.25,8
2023-01-03 09:03:18.098,0.463,1.0,-1.0,13
2023-01-03 09:09:48.075,0.42,-4.0,0.0,25
2023-01-03 09:10:18.000,0.501,1.0,-0.25,3
2023-01-03 09:10:28.231,0.421,1.0,-0.5,8
2023-01-03 09:10:46.025,0.451,1.0,-0.25,1
2023-01-03 09:11:37.026,0.414,1.0,-0.75,14
2023-01-03 09:13:20.021,0.514,1.0,-0.25,4
2023-01-03 09:13:43.118,0.604,1.0,-2.5,61
2023-01-03 09:15:04.151,0.514,1.0,-0.75,1
2023-01-03 09:15:09.007,0.684,1.0,-1.5,17
2023-01-03 09:15:50.049,0.414,-4.0,0.0,130
2023-01-03 09:22:05.048,0.59,1.0,-2.0,66
2023-01-03 09:25:11.307,0.534,1.0,-1.25,70
2023-01-03 09:28:09.008,0.554,1.0,0.0,1
2023-01-03 09:28:14.035,0.52,1.0,-0.5,58
2023-01-03 09:30:57.086,0.739,1.0,-1.75,8
2023-01-03 09:31:37.028,0.638,1.0,-0.25,9
2023-01-03 09:32:52.000,0.429,1.0,-2.25,87
2023-01-03 09:34:42.054,0.503,1.0,-0.75,37
2023-01-03 09:35:55.017,0.528,1.0,-1.5,178
2023-01-03 09:38:55.001,0.515,1.0,-2.0,100
2023-01-03 09:49:06.140,0.575,-4.0,0.0,122
2023-01-03 09:51:26.181,0.463,1.0,-1.25,67
2023-01-03 09:53:52.330,0.41,1.0,-2.0,92
2023-01-03 10:00:04.000,0.424,1.0,0.0,0
2023-01-03 10:00:15.302,0.532,1.0,-0.5,30
2023-01-03 10:03:07.157,0.509,-4.0,0.0,109
2023-01-03 10:06:43.105,0.436,1.0,0.0,9
2023-01-03 10:10:17.041,0.448,1.0,-0.5,6
2023-01-03 10:12:00.089,0.455,1.0,-0.5,11
2023-01-03 10:13:47.146,0.46,-4.0,0.0,59
2023-01-03 10:14:51.000,0.442,1.0,-1.5,32
2023-01-03 10:15:41.000,0.412,1.0,-2.5,130
2023-01-03 10:18:01.238,0.623,1.0,0.0,4
2023-01-03 10:18:08.026,0.716,1.0,-0.75,32
2023-01-03 10:18:41.000,0.456,-4.0,0.0,132
2023-01-03 10:23:24.053,0.513,1.5,0.0,0
2023-01-03 10:25:55.073,0.411,1.0,-1.25,24
2023-01-03 10:29:51.061,0.451,1.0,-0.25,4
2023-01-03 10:29:56.005,0.47,-4.0,0.0,42
2023-01-03 10:31:25.184,0.437,-4.0,0.0,8
2023-01-03 10:32:36.052,0.42,1.0,0.0,6
2023-01-03 10:35:16.179,0.411,1.0,0.0,0
2023-01-03 10:35:57.020,0.536,1.0,-1.5,23
2023-01-03 10:36:32.111,0.553,1.0,-1.5,124
2023-01-03 10:38:43.023,0.42,1.0,-1.0,54
2023-01-03 10:43:47.156,0.453,1.0,0.0,5
2023-01-03 10:46:20.148,0.406,1.0,-3.75,181
2023-01-03 10:51:24.376,0.507,1.0,-1.75,59
2023-01-03 10:52:35.202,0.643,1.0,-0.25,14
2023-01-03 10:53:34.008,0.467,-4.0,0.0,94
2023-01-03 10:55:33.614,0.53,1.0,-1.75,18
2023-01-03 10:56:16.025,0.49,1.0,-1.5,60
2023-01-03 10:59:50.009,0.555,1.0,-0.5,18
2023-01-03 11:00:23.708,0.401,1.0,-3.5,387
2023-01-03 11:07:49.035,0.415,1.0,-0.25,5
2023-01-03 11:08:32.119,0.496,1.0,-2.0,34
2023-01-03 11:15:45.737,0.425,1.0,-1.0,47
2023-01-03 11:18:23.437,0.447,1.0,0.0,15
2023-01-03 11:21:48.281,0.472,-4.0,0.0,95
2023-01-03 11:24:17.000,0.51,1.0,0.0,2
2023-01-03 11:24:30.044,0.718,1.0,-1.25,63
2023-01-03 11:26:44.065,0.711,1.0,-2.5,291
2023-01-03 11:32:36.061,0.442,1.0,-1.0,38
2023-01-03 11:33:32.187,0.402,1.0,-0.75,5
2023-01-03 11:33:48.147,0.422,1.0,-0.5,5
2023-01-03 11:34:26.088,0.466,-4.0,0.0,157
2023-01-03 11:37:48.337,0.479,-4.0,0.0,147
2023-01-03 11:46:04.015,0.728,-4.0,0.0,68
2023-01-03 11:47:21.188,0.528,1.0,-0.25,5
2023-01-03 11:47:59.058,0.433,1.0,-1.0,11
2023-01-03 11:48:52.110,0.553,1.0,0.0,9
2023-01-03 11:49:01.107,0.673,1.0,-2.0,85
2023-01-03 11:52:27.079,0.415,1.0,0.0,5
2023-01-03 11:52:46.382,0.72,1.0,0.0,7
2023-01-03 11:53:33.443,0.447,1.0,-0.5,58
2023-01-03 11:55:19.116,0.665,1.0,-1.5,64
2023-01-03 11:56:52.175,0.551,1.0,0.0,0
2023-01-03 12:03:48.218,0.587,1.0,-0.5,15
2023-01-03 12:07:05.509,0.684,1.0,0.0,13
2023-01-03 12:07:29.052,0.404,1.0,-0.25,17
2023-01-03 12:07:46.096,0.667,1.0,-2.5,192
2023-01-03 12:11:05.057,0.687,1.25,0.0,0
2023-01-03 12:11:27.068,0.401,1.0,0.0,22
2023-01-03 12:11:58.015,0.531,-4.0,0.0,118
2023-01-03 12:20:55.628,0.516,1.0,0.0,69
2023-01-03 12:25:39.012,0.445,1.0,-0.75,19
2023-01-03 12:26:49.216,0.443,1.0,-1.5,13
2023-01-03 12:27:48.750,0.445,1.0,-2.5,113
2023-01-03 12:31:55.419,0.495,1.0,-1.25,132
2023-01-03 12:35:53.004,0.522,1.0,-0.5,15
2023-01-03 12:40:02.256,0.747,1.0,0.0,6
2023-01-03 12:41:15.059,0.638,1.0,-0.5,26
2023-01-03 12:42:32.549,0.523,1.0,0.0,16
2023-01-03 12:46:56.041,0.8,1.0,-0.5,22
2023-01-03 12:49:16.848,0.612,1.0,-0.75,66
2023-01-03 12:50:59.026,0.504,1.0,-2.75,101
2023-01-03 12:54:12.008,0.505,1.0,-0.75,11
2023-01-03 12:54:23.346,0.462,1.0,-3.25,84
2023-01-03 12:55:55.058,0.439,1.0,-2.75,294
2023-01-03 13:02:21.292,0.504,1.0,-0.25,15
2023-01-03 13:02:45.441,0.568,1.0,-2.5,148
